@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2}

@data
65,'2018/07/07 11:47:31:700',5,-0.051362,0.402304,-0.085567,0.074222,1.432927,0.709891,0.821946,0.1567,-0.400806,-0.852264,-1.003979,-0.391579,-0.069586,0.153819,-0.112089,-0.293492,?
66,'2018/07/07 11:47:32:209',5,0.081035,-0.080645,0.079478,-0.077546,0.074867,-0.071466,0.067378,-0.062641,0.0573,-0.051408,0.045021,-0.0382,0.031011,-0.023523,0.015809,-0.007943,?
67,'2018/07/07 11:47:32:970',5,0.299305,0.131892,0.537613,0.782615,0.42496,-0.167048,0.447295,0.545776,0.452311,0.097303,-0.337674,-0.351375,-0.292003,0.478377,-0.045608,-0.539054,?
68,'2018/07/07 11:47:33:478',5,0.409798,0.278256,-0.214253,-0.925706,-0.524009,-0.812545,-0.702307,0.263513,0.495479,-0.123188,-0.199689,0.028448,0.138229,-0.148197,-0.44932,-0.387251,?
69,'2018/07/07 11:47:35:000',5,3.186645,1.505847,-0.594777,0.152352,0.79778,0.830317,0.730404,0.550535,-0.350379,-0.286458,0.930579,1.523757,0.794355,-0.348864,-0.217877,0.267554,?
70,'2018/07/07 11:47:35:254',5,0.589433,0.263371,-0.629047,-0.180254,0.344708,0.287062,-0.826081,0.352361,0.859833,0.254307,-0.742817,0.135958,0.226619,-0.697167,-0.660591,-0.360174,?
71,'2018/07/07 11:47:35:508',5,0.113357,-0.340115,-0.144838,0.639429,0.552964,-0.559079,-0.848778,-0.946368,0.098736,0.129544,-0.552728,-0.465339,-0.4169,-0.163065,0.207316,-0.00436,?
72,'2018/07/07 11:47:35:759',5,0.657336,0.662571,0.504201,-0.802392,-0.678692,-0.730219,-0.960404,-0.036944,0.14443,-0.434388,-0.485032,0.058058,0.407233,0.272352,0.263224,0.391007,?
73,'2018/07/07 11:47:36:267',5,1.907999,1.522447,1.102512,1.17543,0.744585,0.569241,0.797684,-0.112319,-0.463122,0.062864,0.869381,1.002323,0.044973,-0.907924,-0.132091,0.316706,?
74,'2018/07/07 11:47:36:521',5,-1.308157,0.600916,1.13578,1.279932,1.618934,0.990439,-0.007449,0.6967,0.777524,0.061958,0.367125,-0.026463,-0.0339,-0.189555,-0.41179,-0.082966,?
75,'2018/07/07 11:47:36:776',5,-0.251577,0.043363,-0.243392,1.007566,2.012432,1.616488,1.164846,0.357664,0.580122,0.367714,0.169867,-0.366542,-0.187828,0.446744,-0.321179,-0.248377,?
76,'2018/07/07 11:47:37:027',5,0.955249,-0.501482,-1.272766,-0.300705,-0.073449,0.486175,0.492379,0.422975,-0.451869,0.35288,1.020553,0.343592,0.360666,0.598854,0.351193,0.463204,?
77,'2018/07/07 11:47:37:280',5,-0.212642,-0.11184,0.376218,-0.140834,-0.074746,-0.501234,-0.851133,-0.151548,0.870157,1.165058,-0.280735,-0.233441,0.051115,-0.147588,-0.389879,-0.713216,?
78,'2018/07/07 11:47:37:533',5,-0.922639,-0.838758,-0.705679,-0.871374,-0.683707,0.286898,1.625469,0.762484,0.406275,0.814824,0.373947,0.690899,-0.03306,-0.469968,0.270609,-0.243453,?
79,'2018/07/07 11:47:38:040',5,-1.113171,-0.973673,-0.557122,0.267038,0.255198,-0.595221,-0.145799,0.463154,0.549707,0.139529,-0.09463,-0.880581,-0.626718,0.034346,0.075586,-0.231947,?
80,'2018/07/07 11:47:38:295',5,-0.484386,0.003517,-0.151242,0.366027,0.399366,-0.596237,-0.491975,0.639064,1.53686,1.270767,-0.262558,-0.57356,0.304111,1.091466,0.042069,-0.485639,?
81,'2018/07/07 11:47:54:557',6,-0.134069,0.536518,-0.589687,0.390818,0.090596,-0.14423,-0.040075,-0.404988,0.370716,-0.478189,0.00711,0.266192,0.573462,-0.184087,-0.283267,0.091659,?
82,'2018/07/07 11:47:54:812',6,-0.923819,0.454002,0.55629,-0.581329,0.126073,0.802375,0.234655,-0.168239,-0.065129,0.31053,0.412378,-0.873642,-0.919709,0.063495,0.663912,0.726238,?
83,'2018/07/07 11:47:55:067',6,-1.029141,-0.380541,-0.4907,-0.606673,0.063727,-0.150307,-0.796093,0.422646,0.541962,-0.554815,0.079264,0.239174,-0.370199,-0.029835,-0.050225,0.095383,?
84,'2018/07/07 11:47:55:320',6,-0.683608,0.708282,0.527344,0.508207,0.50082,-0.024241,0.024943,-0.239305,0.468816,-0.06678,-0.190273,0.093161,-0.255605,0.015851,0.15389,-0.013316,?
85,'2018/07/07 11:47:55:826',6,-1.033653,-0.080416,0.346652,0.150753,-0.55077,-0.389505,0.026019,-0.013268,0.825576,0.490285,-0.213002,-0.397059,-0.674486,0.123648,0.457878,0.530635,?
86,'2018/07/07 11:47:56:080',6,-1.146505,-0.811575,-0.950426,-0.849044,-0.420168,-0.488419,-0.24847,0.011995,0.027131,0.015374,-0.372154,-0.026056,-0.266075,-0.287323,0.120373,-0.132255,?
87,'2018/07/07 11:47:56:334',6,-1.024132,-0.356785,0.298515,0.398689,-0.135765,0.060663,0.241946,-0.2051,0.159248,-0.137029,-0.42892,-0.056764,0.008601,0.225442,0.22111,0.098276,?
88,'2018/07/07 11:47:57:857',6,1.570859,-0.651416,1.39555,1.040725,-0.025829,0.459142,0.075252,0.087539,0.162169,0.570056,0.50572,0.439671,0.23672,-0.360316,0.038861,0.21217,?
89,'2018/07/07 11:47:58:620',6,0.040596,-0.020805,0.574461,-0.320337,-0.280567,0.019547,0.026725,0.120318,-0.1959,0.096442,-0.409622,0.114863,0.351214,-0.131143,0.0114,-0.098245,?
90,'2018/07/07 11:47:58:875',6,-0.199519,0.571542,-0.467113,-0.400967,0.292886,-0.076663,0.066979,-0.006378,-0.035918,-0.182628,-0.10866,0.225607,0.464806,0.044856,-0.19275,-0.067295,?
91,'2018/07/07 11:47:59:127',6,-0.189934,0.396554,-0.428267,-0.017203,0.20637,0.027328,0.12,-0.641851,0.417348,0.132409,-0.503324,0.075536,0.47027,-0.488767,0.004219,0.21962,?
92,'2018/07/07 11:47:59:381',6,0.034985,-0.042321,0.150047,0.119959,-0.356576,-0.089525,-0.215,0.101703,0.228791,-0.145315,-0.055601,-0.219595,0.188103,0.082211,-0.246095,-0.002069,?
93,'2018/07/07 11:47:59:634',6,-0.296824,0.165728,-0.392491,0.33315,-0.158739,-0.215622,0.407318,-0.393492,0.117946,0.075382,-0.181932,0.07358,0.108623,-0.07892,0.006701,-0.03847,?
94,'2018/07/07 11:47:59:887',6,-0.60272,0.030199,0.186051,-0.097828,0.142491,0.076397,-0.165146,0.085659,-0.152994,0.153155,-0.220344,0.276215,-0.153324,-0.129134,0.002926,0.109,?
95,'2018/07/07 11:48:00:138',6,-0.045975,0.079916,-0.071087,0.197764,-0.06977,-0.131037,0.306473,0.03923,-0.134392,0.049035,0.187421,-0.173976,0.090622,-0.118376,0.141572,-0.179772,?
96,'2018/07/07 11:48:00:392',6,-0.801807,-0.241305,0.363447,-0.641519,0.045077,0.02538,-0.298803,-0.102041,-0.038885,0.07375,-0.295837,0.031351,-0.048031,0.010468,-0.153431,0.078139,?
97,'2018/07/07 11:48:00:648',6,-0.943264,-0.676178,-0.099235,-0.154185,0.0881,0.652039,0.158889,0.300814,0.000601,-0.465083,-0.197769,-0.289979,0.197319,0.403832,0.192541,0.183292,?
98,'2018/07/07 11:50:10:497',8,0.989258,0.004973,-0.513047,-0.532083,-0.516358,-0.283882,0.819402,0.623418,0.78336,0.314342,-0.2536,-0.453341,-0.543975,-0.25782,0.192634,0.218122,?
99,'2018/07/07 11:50:14:853',8,1.073758,0.890539,0.319504,-1.080199,-1.136043,-1.198256,-0.867151,-0.04229,-0.120584,-0.413769,-0.285652,0.119968,0.585877,0.402015,0.191244,0.253186,?
100,'2018/07/07 11:52:30:356',10,0.197462,0.842134,0.376805,-0.738408,-1.697421,-1.376133,-0.044436,1.199841,1.271557,0.435849,-0.5375,0.138274,-0.308616,-0.212138,-0.187403,0.484698,?
